#    26.1088    99.9475 1 2 0 
   25.8317    98.8518 3.0090 
   25.0289    98.5197 2.9902 
   25.6093   100.2540 3.0091 
   24.0357    99.2454 3.0350 
   25.8854    99.3717 2.9802 
#    23.8785   100.0690 1 2 0 
   24.4245    98.5925 3.0501 
   25.6093   100.2540 3.0559 
   24.0851    98.0709 3.0410 
   24.0357    99.2454 2.9903 
   25.8854    99.3717 3.0804 
#    25.8317    98.8518 1 2 0 
   24.4245    98.5925 3.1276 
   25.0289    98.5197 3.0632 
   25.6093   100.2540 2.9943 
   24.0851    98.0709 3.1004 
   24.0357    99.2454 3.1217 
   25.8854    99.3717 3.0212 
#    24.4245    98.5925 1 2 0 
   25.6093   100.2540 3.0283 
   24.0851    98.0709 3.0949 
   24.0357    99.2454 3.0722 
   25.8854    99.3717 3.1092 
   24.4348   100.1470 3.0081 
#    25.0289    98.5197 1 2 0 
   25.6093   100.2540 3.0010 
   24.0851    98.0709 3.0811 
   25.8854    99.3717 3.0317 
   24.4348   100.1470 3.0808 
#    25.6093   100.2540 1 2 0 
   24.0851    98.0709 3.0612 
   24.0357    99.2454 3.0551 
   25.8854    99.3717 2.9838 
#    24.0851    98.0709 1 2 0 
   24.0357    99.2454 3.0774 
   25.8854    99.3717 3.0854 
   24.4348   100.1470 3.0545 
#    24.0357    99.2454 1 2 0 
   24.4348   100.1470 3.0666 
#    25.8854    99.3717 1 2 0 
   24.4348   100.1470 3.1010 
#    26.3578    98.8863 1 2 0 
   26.3600   100.1700 2.9884 
   26.1294   100.2520 2.9717 
   26.2040    99.4300 3.0025 
   25.6322    99.4024 3.0704 
   25.8500   100.5200 2.9961 
   25.9242   100.8560 2.9978 
   25.8146    99.8316 3.0249 
   25.5410    99.7280 3.0226 
   25.2954    99.4137 3.1775 
   25.3419    99.7771 3.0324 
   25.3500   100.4900 2.9725 
   25.0148   100.2160 3.0096 
   25.2400   100.3200 3.0054 
   25.0541   100.5230 2.9727 
   25.5945   100.8960 3.0253 
   25.5666   100.4990 3.0141 
   25.3230   100.8990 2.9762 
   25.9100   100.1000 3.0197 
   26.2944   100.5960 2.9816 
   25.5117    98.5433 3.1965 
   25.2175    98.3349 3.1345 
   24.7484    98.4849 3.1194 
   25.4847    99.2375 3.1716 
   25.1964    98.8431 3.1257 
   25.4505    98.8634 3.0122 
   25.0480    99.4801 3.1162 
   24.5257    99.6235 3.1130 
   24.7523    99.1663 3.1266 
   25.1078    97.9350 3.0801 
   24.7130    97.9699 3.1053 
   24.6108    97.6568 3.1283 
   24.6619    98.2175 3.1079 
   24.4972    98.0252 3.1314 
   24.3999    97.7332 3.1021 
   24.1826    97.7857 3.0844 
   23.9027    97.6622 2.8273 
   24.7112    99.8799 3.0995 
   24.7084   100.1990 3.0907 
   24.3191    99.9445 3.1587 
   24.5924   100.4690 3.0884 
   23.8963    99.0268 3.1103 
   23.7032    99.5713 3.1009 
   24.4547   100.8080 3.0920 
   23.9586   100.4120 3.1507 
   24.1990   100.7810 3.1077 
   23.5890   100.2940 3.1085 
   25.0395   100.8160 3.0179 
#    26.2006    99.1301 1 2 0 
   26.3600   100.1700 2.9955 
   26.1294   100.2520 2.9528 
   26.2040    99.4300 3.0201 
   25.6322    99.4024 3.1545 
   25.8500   100.5200 2.9926 
   25.9242   100.8560 2.9731 
   25.5410    99.7280 2.9881 
   25.2954    99.4137 3.1375 
   25.3419    99.7771 3.0179 
   25.3500   100.4900 2.9241 
   25.5666   100.4990 3.0181 
   25.9100   100.1000 2.9977 
   26.2944   100.5960 2.9857 
   25.5117    98.5433 3.0757 
   25.2175    98.3349 3.0621 
   24.9037    98.6668 3.1614 
   24.7484    98.4849 3.1268 
   25.4847    99.2375 3.0708 
   25.1964    98.8431 3.1673 
   25.4505    98.8634 3.1860 
   24.6942    98.8350 3.1177 
   24.5549    99.0325 3.1003 
   24.3221    99.0384 3.1101 
   24.8769    99.6453 3.1419 
   24.9958    99.8346 3.0909 
   24.7523    99.1663 3.0884 
   25.1078    97.9350 3.0750 
   24.7130    97.9699 3.0896 
   24.6108    97.6568 3.0953 
   24.6619    98.2175 3.0699 
   24.4972    98.0252 3.0915 
   24.3999    97.7332 3.0934 
   24.1826    97.7857 3.1034 
   23.9027    97.6622 3.1035 
   24.3368    98.3382 3.1518 
   24.1350    98.5651 3.1680 
   24.8650   100.0910 3.0527 
   24.7084   100.1990 3.0707 
   24.3191    99.9445 3.1192 
   24.5924   100.4690 3.0777 
   24.1603   100.3690 3.0631 
   24.2045    99.5529 3.1101 
   23.8963    99.0268 3.1162 
   23.5554    98.8783 3.1085 
   24.6420   100.7200 3.0116 
   24.4547   100.8080 3.0732 
   23.9586   100.4120 3.0918 
   23.5890   100.2940 3.1302 
   25.0395   100.8160 3.0186 
#    26.3600   100.1700 1 2 0 
   26.2040    99.4300 2.9854 
   25.6322    99.4024 2.9517 
   25.8500   100.5200 3.1529 
   25.5410    99.7280 3.0689 
   25.2954    99.4137 3.0518 
   25.3500   100.4900 3.1499 
   25.0148   100.2160 3.0012 
   25.0541   100.5230 3.0550 
   25.5945   100.8960 3.0574 
   25.5666   100.4990 3.0732 
   25.3230   100.8990 3.0512 
   26.2944   100.5960 2.9628 
   25.5117    98.5433 2.9934 
   24.9037    98.6668 3.0152 
   24.7484    98.4849 3.0274 
   25.4847    99.2375 2.9680 
   25.1964    98.8431 3.0136 
   25.4505    98.8634 3.0064 
   24.5549    99.0325 3.0556 
   24.3221    99.0384 3.0733 
   25.0480    99.4801 3.0338 
   24.8769    99.6453 3.0347 
   24.5257    99.6235 3.0312 
   24.7523    99.1663 3.0304 
   25.1078    97.9350 3.0086 
   24.7130    97.9699 3.0195 
   24.6108    97.6568 3.0191 
   24.6619    98.2175 3.0261 
   24.4972    98.0252 3.0399 
   24.3999    97.7332 3.0299 
   24.3368    98.3382 3.0278 
   24.1350    98.5651 3.0344 
   24.8650   100.0910 2.9826 
   24.7084   100.1990 3.0612 
   24.3191    99.9445 3.0441 
   24.5924   100.4690 3.0509 
   24.1603   100.3690 3.0621 
   24.2045    99.5529 3.0345 
   23.8963    99.0268 3.0574 
   24.0204    99.7242 3.0431 
   23.7032    99.5713 3.0499 
   23.5554    98.8783 3.0586 
   23.9586   100.4120 3.0768 
   23.5890   100.2940 3.0869 
#    26.1294   100.2520 1 2 0 
   25.9242   100.8560 2.9891 
   25.5410    99.7280 3.0889 
   25.2954    99.4137 2.9739 
   25.0148   100.2160 2.9674 
   25.5945   100.8960 3.0354 
   26.2944   100.5960 3.0903 
   25.2175    98.3349 3.0265 
   25.4847    99.2375 3.0207 
   24.6942    98.8350 2.9875 
   24.3221    99.0384 3.1068 
   24.8769    99.6453 3.0401 
   24.5305    99.3404 3.0429 
   24.7523    99.1663 3.0126 
   24.7130    97.9699 3.0140 
   24.6108    97.6568 3.0383 
